exec_time, invoke_time, access_time, resides_time
583.01, 5.74, 1.96, 568.06
394.92, 4.61, 2.01, 380.93
422.99, 6.18, 2.04, 378.22
422.35, 5.94, 2.13, 387.33
415.86, 6.01, 2.35, 381.77
390.18, 4.59, 2.04, 375.05
405.34, 4.67, 2.05, 374.36
418.58, 5.99, 2.11, 379.41
399.20, 5.53, 2.11, 381.42
390.15, 4.59, 2.02, 378.70
418.09, 4.73, 2.06, 385.89
422.42, 4.70, 2.09, 384.08
411.36, 4.81, 2.09, 382.04
425.20, 5.94, 2.38, 388.54
405.10, 5.95, 2.10, 384.44
446.89, 5.99, 2.38, 388.15
420.59, 4.83, 2.07, 385.53
400.33, 5.72, 2.32, 386.48
397.10, 5.91, 2.16, 384.04
421.87, 5.95, 2.17, 383.51
443.41, 4.80, 2.10, 401.82
401.85, 4.67, 2.07, 388.72
396.09, 4.57, 2.06, 386.48
465.88, 4.82, 2.17, 434.71
455.02, 5.93, 2.39, 425.40
395.90, 5.73, 2.14, 387.82
414.00, 4.74, 2.09, 382.70
397.79, 4.63, 2.07, 387.23
419.10, 4.93, 2.07, 382.54
446.14, 5.96, 2.17, 390.02
417.81, 4.83, 2.09, 384.65
411.78, 4.63, 2.07, 396.34
414.44, 4.80, 2.08, 390.13
421.69, 4.57, 2.08, 404.40
397.18, 4.59, 2.10, 386.04
416.17, 5.86, 2.18, 386.00
455.67, 4.70, 2.13, 419.11
442.56, 4.79, 2.10, 408.45
424.02, 5.78, 2.20, 408.79
436.18, 4.65, 2.15, 416.01
427.35, 4.69, 2.11, 413.34
429.88, 5.88, 2.24, 409.97
444.81, 6.00, 2.16, 409.89
458.38, 4.76, 2.11, 426.33
448.50, 6.17, 2.20, 406.34
447.62, 4.80, 2.11, 408.86
425.66, 4.70, 2.15, 410.52
442.75, 4.73, 2.12, 411.41
448.05, 5.89, 2.43, 406.89
421.79, 4.58, 2.09, 406.77
426.65, 4.61, 2.11, 411.80
429.43, 4.74, 2.12, 407.71
445.10, 4.68, 2.10, 410.92
453.94, 4.68, 2.11, 408.07
463.24, 4.75, 2.12, 408.47
420.72, 4.60, 2.07, 411.20
466.89, 5.94, 2.16, 411.93
510.10, 5.83, 3.79, 491.43
446.42, 5.86, 2.17, 407.98
437.82, 4.71, 2.09, 407.74
454.03, 5.91, 2.44, 411.15
448.59, 4.84, 2.14, 412.55
431.38, 4.83, 2.10, 383.23
413.68, 4.85, 2.10, 381.88
423.55, 6.00, 2.46, 382.75
411.38, 5.83, 2.36, 394.21
401.14, 4.64, 2.06, 379.58
405.52, 4.66, 2.06, 377.59
423.20, 4.74, 2.11, 379.22
406.66, 4.63, 2.07, 380.76
409.05, 6.05, 2.39, 383.63
395.82, 5.90, 2.36, 380.19
394.99, 4.58, 2.08, 380.23
396.59, 4.58, 2.06, 379.07
403.07, 4.78, 2.09, 379.26
409.89, 5.96, 2.40, 380.39
421.36, 4.63, 2.15, 379.19
400.42, 4.71, 2.14, 381.72
421.90, 5.93, 2.17, 379.68
395.17, 4.65, 2.05, 382.75
408.89, 5.86, 2.16, 390.69
