exec_time, invoke_time, access_time, resides_time
593.28, 86.30, 3.19, 603.23
408.65, 63.75, 2.33, 418.98
435.87, 66.12, 2.26, 416.04
447.79, 62.82, 2.29, 439.76
442.45, 60.34, 2.35, 432.70
398.25, 59.09, 2.29, 405.35
424.06, 67.02, 2.03, 422.18
426.66, 64.09, 2.85, 409.82
416.64, 60.97, 2.60, 421.31
400.33, 63.27, 2.20, 416.85
497.96, 61.82, 3.00, 487.63
494.86, 61.60, 3.15, 481.20
411.18, 54.30, 2.25, 402.74
415.28, 68.21, 2.21, 404.60
406.29, 62.66, 2.59, 414.38
444.67, 67.17, 2.18, 406.08
422.68, 51.59, 2.20, 410.69
408.76, 57.52, 2.37, 419.05
398.56, 56.71, 2.24, 411.97
440.54, 59.52, 2.22, 425.59
457.81, 63.21, 2.35, 438.96
427.89, 50.52, 2.30, 437.77
429.22, 64.65, 3.67, 442.96
442.39, 64.57, 2.40, 439.07
414.78, 63.13, 2.21, 408.36
416.82, 61.64, 2.48, 427.57
418.36, 69.48, 2.20, 412.64
401.91, 57.65, 2.40, 415.38
419.26, 59.51, 2.45, 407.31
449.36, 60.85, 2.22, 415.92
415.30, 53.20, 2.21, 403.27
502.59, 58.33, 2.29, 508.98
463.45, 56.14, 2.67, 458.68
403.13, 56.32, 2.83, 409.48
424.96, 54.17, 2.48, 435.84
442.26, 60.73, 2.30, 432.39
451.35, 562.28, 2.24, 947.60
519.64, 64.07, 2.45, 507.09
450.75, 49.71, 2.78, 453.83
403.98, 52.30, 2.33, 404.38
432.43, 49.61, 2.35, 440.15
428.92, 59.87, 2.26, 434.15
446.23, 62.66, 2.22, 432.56
441.36, 54.93, 3.24, 432.88
449.06, 62.43, 2.38, 434.03
457.86, 60.14, 2.27, 441.30
422.55, 49.10, 2.46, 430.05
440.73, 60.41, 2.18, 432.07
425.42, 60.50, 2.20, 403.29
493.22, 59.92, 2.34, 504.21
455.21, 51.97, 2.77, 465.80
442.23, 56.81, 2.98, 443.51
446.08, 63.15, 2.08, 434.68
457.93, 63.60, 3.40, 435.47
468.68, 56.86, 2.44, 435.92
421.76, 51.63, 2.24, 434.59
465.85, 59.83, 2.28, 435.40
425.25, 54.85, 2.28, 435.54
456.14, 52.35, 2.11, 437.77
506.42, 54.77, 2.15, 496.89
479.24, 61.60, 2.60, 454.98
452.43, 56.63, 2.36, 437.14
432.32, 59.40, 2.32, 406.34
443.59, 63.57, 2.06, 434.00
453.00, 69.63, 3.31, 436.42
397.95, 51.61, 2.16, 403.33
402.26, 62.61, 3.23, 404.85
436.70, 59.64, 2.27, 431.70
433.81, 69.73, 2.44, 415.04
437.99, 54.56, 2.26, 432.51
408.13, 59.39, 3.25, 407.08
432.14, 56.42, 3.22, 439.96
390.93, 52.70, 2.18, 400.19
428.86, 53.75, 2.47, 432.96
431.85, 59.16, 2.24, 431.01
440.87, 58.17, 2.59, 434.63
464.39, 63.85, 2.02, 442.77
442.98, 52.40, 2.53, 449.59
459.89, 49.26, 2.13, 435.59
423.91, 51.49, 2.26, 434.27
405.43, 66.82, 3.35, 409.68
441.33, 65.81, 2.34, 434.31
441.96, 57.48, 2.20, 427.63
454.05, 62.50, 2.03, 443.93
424.14, 58.72, 2.26, 411.98
425.30, 58.15, 2.20, 434.39
447.79, 59.26, 2.03, 435.82
418.26, 55.69, 2.26, 407.06
438.07, 58.35, 2.09, 433.44
448.29, 65.55, 3.63, 432.36
447.03, 54.43, 2.04, 438.93
438.87, 60.84, 2.73, 419.81
441.94, 60.86, 2.36, 433.35
425.52, 54.44, 2.27, 436.29
406.97, 55.46, 2.32, 405.46
425.13, 56.63, 2.27, 439.77
426.94, 55.16, 3.30, 434.99
444.60, 66.84, 2.45, 440.82
431.89, 51.88, 2.55, 411.88
444.43, 64.92, 2.33, 429.13
415.37, 59.29, 2.40, 408.19
395.20, 52.40, 2.20, 402.48
422.95, 64.22, 2.40, 404.84
414.49, 65.39, 2.23, 403.60
428.45, 63.42, 2.82, 436.85
450.13, 58.17, 2.05, 441.46
415.57, 49.85, 2.23, 412.82
419.85, 62.15, 2.24, 403.25
449.58, 59.76, 2.30, 431.80
404.67, 53.20, 2.34, 413.59
411.51, 60.18, 2.21, 415.12
428.27, 61.67, 2.19, 404.95
408.61, 62.44, 2.37, 407.98
422.19, 54.10, 2.21, 402.98
401.91, 52.89, 2.15, 404.15
402.57, 53.05, 2.18, 400.86
398.85, 56.31, 2.23, 406.43
412.42, 53.16, 2.23, 406.72
439.49, 58.15, 2.28, 427.13
396.13, 52.25, 2.49, 407.99
401.42, 54.50, 2.25, 401.20
410.41, 60.02, 2.20, 401.47
400.73, 54.33, 2.21, 403.45
410.10, 64.68, 2.90, 407.47
398.60, 54.23, 2.18, 403.97
418.29, 57.59, 2.20, 399.51
435.72, 51.02, 2.36, 445.90
436.43, 57.84, 3.58, 439.08
425.00, 60.54, 2.18, 407.97
390.95, 48.70, 2.30, 402.79
414.46, 52.59, 2.30, 401.93
393.99, 55.35, 2.50, 403.13
397.45, 53.73, 2.16, 404.16
412.20, 59.71, 2.41, 407.00
396.09, 47.97, 2.24, 402.17
430.04, 63.50, 2.30, 406.55
397.83, 59.70, 2.38, 403.05
407.04, 58.18, 2.22, 408.64
395.11, 55.96, 2.19, 401.14
417.54, 60.98, 2.33, 406.89
416.30, 49.11, 2.30, 419.95
413.07, 68.24, 2.16, 406.54
414.66, 63.08, 2.21, 406.65
404.56, 68.75, 2.21, 402.34
411.67, 55.54, 2.19, 407.33
411.15, 54.71, 2.45, 409.47
398.17, 50.49, 2.21, 407.43
401.91, 55.81, 2.24, 402.68
414.94, 57.67, 2.20, 404.67
394.95, 55.69, 2.27, 409.60
418.26, 49.06, 2.20, 407.29
418.38, 63.62, 2.20, 408.05
418.74, 63.20, 2.29, 410.09
424.43, 62.70, 2.20, 407.98
409.12, 61.16, 2.80, 413.39
417.63, 58.75, 2.20, 405.67
420.81, 63.63, 2.37, 409.26
419.47, 568.66, 2.21, 918.19
401.26, 57.02, 2.21, 405.01
413.56, 60.40, 2.24, 405.97
412.60, 49.35, 2.34, 410.99
417.51, 68.29, 2.84, 403.88
396.13, 55.13, 2.21, 399.46
417.34, 58.81, 2.70, 401.17
414.34, 57.27, 2.31, 402.51
412.71, 47.00, 2.18, 400.47
396.26, 52.56, 2.28, 404.62
409.43, 56.23, 2.39, 401.38
403.77, 59.35, 2.94, 405.20
395.53, 55.73, 2.48, 406.46
428.81, 57.46, 2.51, 411.13
412.35, 58.31, 2.50, 404.56
406.82, 54.13, 2.22, 407.67
403.44, 68.67, 2.44, 416.12
392.21, 52.12, 2.47, 404.12
406.62, 52.81, 2.28, 416.90
400.92, 52.06, 2.22, 403.36
396.53, 50.28, 2.26, 403.23
419.14, 60.11, 2.79, 406.01
432.46, 51.07, 2.23, 416.10
424.59, 55.95, 2.19, 415.84
438.34, 56.48, 2.19, 426.33
473.30, 56.74, 2.23, 461.35
463.47, 46.91, 2.62, 441.26
406.35, 51.07, 2.19, 408.84
422.24, 50.97, 2.29, 407.23
403.18, 54.50, 2.64, 407.48
395.30, 57.06, 2.19, 403.27
439.60, 60.19, 2.42, 406.55
413.27, 58.37, 2.19, 404.28
396.43, 57.69, 2.44, 404.84
414.60, 55.55, 2.26, 403.61
421.92, 61.26, 2.18, 404.20
398.65, 48.96, 2.25, 402.59
414.46, 62.88, 2.77, 407.47
408.55, 60.77, 2.43, 415.11
458.47, 62.27, 2.29, 441.34
437.11, 52.08, 2.40, 436.93
431.20, 57.39, 2.89, 431.00
417.31, 47.83, 2.25, 406.72
397.06, 57.42, 2.67, 406.32
417.72, 59.60, 3.20, 406.02
438.18, 51.56, 2.26, 448.93
414.50, 55.68, 2.40, 418.14
398.53, 46.56, 2.27, 405.67
432.57, 49.10, 2.20, 429.99
445.41, 54.64, 3.28, 433.81
450.13, 52.43, 2.34, 429.75
429.58, 48.96, 2.36, 435.26
420.91, 54.63, 2.47, 432.85
422.60, 50.80, 2.30, 432.79
435.14, 52.24, 2.24, 429.17
444.91, 57.82, 2.23, 433.85
436.59, 54.26, 2.47, 430.89
457.13, 59.62, 2.26, 432.68
442.95, 55.19, 2.33, 428.22
428.73, 47.00, 2.44, 436.50
426.93, 51.56, 2.49, 432.67
442.29, 60.08, 2.44, 433.36
409.51, 47.18, 2.43, 403.61
411.72, 58.37, 2.31, 406.13
422.41, 58.09, 2.48, 430.13
437.20, 61.70, 2.84, 423.37
440.34, 63.51, 2.06, 434.37
437.42, 58.60, 2.59, 434.94
443.45, 51.40, 2.42, 432.51
426.16, 56.00, 2.23, 432.71
427.89, 50.23, 2.26, 434.96
422.81, 61.08, 2.24, 408.39
439.32, 50.99, 2.28, 429.91
432.55, 61.99, 2.27, 414.32
435.09, 60.87, 2.67, 406.57
451.41, 58.84, 2.09, 445.36
403.45, 53.27, 2.18, 407.70
488.33, 51.05, 2.16, 492.38
469.03, 48.61, 3.05, 472.00
405.42, 49.75, 2.25, 408.67
416.32, 57.26, 2.23, 407.00
455.92, 55.32, 2.45, 428.16
509.83, 48.50, 3.17, 496.62
442.13, 48.57, 2.35, 433.81
442.13, 50.57, 2.24, 434.12
413.61, 53.51, 2.22, 420.95
399.95, 50.22, 2.27, 408.95
428.44, 60.81, 2.83, 405.71
397.59, 50.65, 2.19, 407.49
